Movie_Title,Release_Year,Genre,IMDB_Rating,OTT_Platform,Country,BoxOffice_Revenue_MillionUSD
Velvet Night,2023,Romance,9.1,Amazon Prime,Brazil,482.33
Storm Valley,1999,Drama,9.2,Hotstar,South Korea,148.64
Lost Kingdom,2010,Horror,7.1,Amazon Prime,Australia,94.84
Twilight Road,2016,Action,8.3,Hulu,Canada,314.28
Night Whisper,2005,Action,4.5,Amazon Prime,Germany,382.3
Bitter Truth,2002,Thriller,4.6,Hulu,Australia,263.06
Blue Horizon,2025,Documentary,9.1,Hulu,Canada,234.34
Fallen Empire,1991,Comedy,7.3,Disney+,Japan,368.33
Hidden Flame,2005,Animation,5.5,Amazon Prime,Australia,650.04
Dragon's Roar,2002,Thriller,9.5,Disney+,France,144.89
River's Edge,2002,Fantasy,5.6,Hotstar,Canada,834.86
Broken Wings,1997,Thriller,6.9,Netflix,USA,857.43
Echoes of War,2017,Action,7.1,Netflix,Japan,160.76
Ocean Secrets,2008,Thriller,8.5,Amazon Prime,India,702.67
Sacred Heart,2014,Action,4.1,Netflix,USA,642.21
Silver Moon,1998,Romance,8.2,Hulu,Japan,683.66
Golden Hour,2003,Animation,5.7,Amazon Prime,France,370.16
Phantom Flame,1992,Comedy,9.4,Netflix,Brazil,833.75
Sacred Oath,2021,Action,7.1,Hotstar,South Korea,889.05
Dark Horizon,1992,Comedy,5.9,Disney+,Canada,388.87
Burning Ashes,2010,Documentary,4.8,Hulu,USA,171.59
Iron Fortress,2020,Action,6.7,Amazon Prime,Australia,385.51
Pearl Harbor,2008,Horror,7.1,Hotstar,Germany,723.67
Rising Phoenix,1999,Action,5.6,Disney+,South Korea,388.89
Thunder Strike,2012,Documentary,7,Disney+,Brazil,418.01
Emerald Forest,1997,Horror,8.6,Hulu,India,720.44
Night Rider,1991,Sci-Fi,5.1,Hulu,France,442.16
Velvet Sky,1998,Animation,5.3,Amazon Prime,South Korea,32.08
Neon Shadow,2009,Animation,6.5,Hotstar,UK,148.41
Stormbringer,2001,Comedy,9.3,Hulu,Australia,517.7
Crimson Valley,1993,Comedy,4.5,Hulu,Germany,522.23
Sapphire Moon,2013,Romance,8.2,Hulu,Canada,542.73
Glorious Day,2020,Horror,4.2,Hotstar,Brazil,157.35
Frozen Kingdom,2001,Documentary,5.6,Hotstar,Germany,75.23
Moonlit Path,2018,Comedy,8.5,Netflix,Brazil,723.57
Burning Horizon,1997,Romance,6.5,Netflix,Japan,153.59
Black Rose,2016,Romance,5.1,Hulu,USA,735.61
Blue Mirage,2023,Comedy,7.9,Hulu,South Korea,57.05
Midnight Caller,2012,Documentary,8.8,Disney+,UK,781.97
Firefly Lane,2014,Action,9.5,Amazon Prime,Brazil,318.29
Crimson Shadow,2005,Comedy,5.3,Hotstar,Brazil,618.87
Golden Wings,2014,Animation,7.6,Netflix,South Korea,513.97
Eternal Quest,2000,Thriller,4.2,Hulu,Japan,89.83
Silent Echo,1997,Drama,8.6,Netflix,USA,682.84
Golden Flame,2004,Sci-Fi,4.9,Disney+,Canada,732.07
Dark Matter,2006,Sci-Fi,4.7,Hotstar,Japan,829.57
Lost Horizon,2001,Fantasy,6.4,Hulu,South Korea,236.65
